Status Indicator,Create Date,Maintenance Date,Responsible IT Area,Impact Category,Purpose Group,Emergency / Time Senstive
Completed,2/1/2017 11:58,2/1/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,1/24/2017 8:50,1/27/2017,Multi-Team (Indicate groups in Additional Information),,Preventive,
Completed,1/31/2017 10:31,1/26/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,1/20/2017 14:17,1/20/2017,ERP / SAP,,Fix / Patch,TRUE
Completed,1/13/2017 11:21,1/19/2017,Network Operations (Server / SAN),,Fix / Patch,
Completed,11/8/2016 8:53,1/14/2017,Network Operations (Server / SAN),,Fix / Patch,
Completed,1/10/2017 11:39,1/10/2017,ERP / SAP,,Fix / Patch,TRUE
Completed,1/5/2017 18:59,1/5/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,1/5/2017 13:50,1/5/2017,Multi-Team (Indicate groups in Additional Information),,Enhancement,
Completed,1/5/2017 16:02,1/3/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,10/20/2016 9:32,12/27/2016,ERP / SAP,,Preventive,
Completed,12/22/2016 10:12,12/21/2016,ERP / SAP,,Preventive,
Completed,12/6/2016 10:56,12/21/2016,GIS,,Enhancement,
Completed,12/16/2016 15:26,12/19/2016,Multi-Team (Indicate groups in Additional Information),,Enhancement,
Completed,10/20/2016 9:27,12/17/2016,ERP / SAP,,Preventive,
Completed,10/3/2016 16:08,12/17/2016,Network Infrastructure,,Enhancement,
Completed,12/6/2016 9:51,12/16/2016,ERP / SAP,,Preventive,
Completed,11/29/2016 9:46,12/3/2016,Network Operations (Server / SAN),,Preventive,TRUE
Completed,11/29/2016 9:55,12/2/2016,Network Operations (Server / SAN),,Fix / Patch,
Completed,11/1/2016 13:39,12/2/2016,ERP / SAP,,Preventive,
Completed,10/3/2016 15:50,12/2/2016,Network Infrastructure,,Enhancement,
Completed,11/30/2016 13:09,12/1/2016,Multi-Team (Indicate groups in Additional Information),,Preventive,
Completed,11/18/2016 9:45,11/30/2016,Multi-Team (Indicate groups in Additional Information),,Preventive,
Completed,11/18/2016 9:49,11/28/2016,Multi-Team (Indicate groups in Additional Information),,Preventive,
Completed,11/18/2016 9:23,11/28/2016,Multi-Team (Indicate groups in Additional Information),,Preventive,
Completed,10/20/2016 9:30,11/28/2016,ERP / SAP,,Preventive,
Completed,11/22/2016 9:23,11/25/2016,Network Operations (Server / SAN),,Preventive,
Completed,11/1/2016 11:52,11/25/2016,GIS,,Enhancement,
Completed,10/6/2016 10:30,11/25/2016,Network Infrastructure,,New Implementation,
